
Quadro extraído em 08 de Novembro de 2025 (12:20:08)
http://www.ine.pt



Período de referência dos dados (1) ;Local de residência (NUTS - 2013) (2) ;População residente (N.º) por Local de residência (NUTS - 2013), Sexo e Grupo etário -  Anual;;;
;;Sexo;;;
;;HM;H;M;
;;Grupo etário;;;
;;Total;;;
;;N.º ;N.º ;N.º ;
;16E0607: Lousã;17381;8366;9015;
;16E0111: Mealhada;20051;9586;10465;
;16E0608: Mira;12335;5808;6527;
;16E0609: Miranda do Corvo;12865;6152;6713;
;16E0610: Montemor-o-Velho;25628;12316;13312;
;16E1808: Mortágua;9366;4472;4894;
;16E0611: Oliveira do Hospital;20304;9729;10575;
;16E0612: Pampilhosa da Serra;4275;1957;2318;
;16E0613: Penacova;14594;6857;7737;
;16E0614: Penela;5788;2733;3055;
;16E0615: Soure;18620;8811;9809;
;16E0616: Tábua;11801;5570;6231;
;16E0617: Vila Nova de Poiares;7218;3380;3838;
;16F: Região de Leiria;291020;139393;151627;
;16F1002: Alvaiázere;6878;3207;3671;
;16F1003: Ansião;12714;5984;6730;
;16F1004: Batalha;15510;7492;8018;
;16F1007: Castanheira de Pêra;3035;1442;1593;
;16F1008: Figueiró dos Vinhos;5824;2757;3067;
;16F1009: Leiria;126974;60972;66002;
;16F1010: Marinha Grande;38559;18546;20013;
;16F1013: Pedrógão Grande;3723;1781;1942;
;16F1015: Pombal;53918;25615;28303;
;16F1016: Porto de Mós;23885;11597;12288;
;16G: Viseu Dão Lafões;262552;123896;138656;
;16G0901: Aguiar da Beira;5732;2641;3091;
;16G1802: Carregal do Sal;9580;4533;5047;
;16G1803: Castro Daire;14700;7040;7660;
;16G1806: Mangualde;19378;9282;10096;
;16G1809: Nelas;13726;6497;7229;
;16G1810: Oliveira de Frades;9987;4753;5234;
;16G1811: Penalva do Castelo;7750;3679;4071;
;16G1814: Santa Comba Dão;11313;5314;5999;
;16G1816: São Pedro do Sul;16124;7562;8562;
;16G1817: Sátão;12048;5679;6369;
;16G1821: Tondela;27706;13096;14610;
;16G1822: Vila Nova de Paiva;5026;2363;2663;
;16G1823: Viseu;99362;46647;52715;
;16G1824: Vouzela;10120;4810;5310;
;16H: Beira Baixa;86080;40789;45291;
;16H0502: Castelo Branco;54989;25944;29045;
;16H0505: Idanha-a-Nova;9214;4367;4847;
;16H0506: Oleiros;5326;2536;2790;
;16H0507: Penamacor;5239;2571;2668;
;16H0508: Proença-a-Nova;7901;3791;4110;
;16H0511: Vila Velha de Ródão;3411;1580;1831;
;16I: Médio Tejo;241099;114094;127005;
;16I1401: Abrantes;37676;18104;19572;
;16I1402: Alcanena;13410;6455;6955;
;16I1408: Constância;4002;1909;2093;
;16I1410: Entroncamento;20112;9505;10607;
;16I1411: Ferreira do Zêzere;8293;3915;4378;
;16I1413: Mação;7049;3329;3720;
;16I1421: Ourém;45505;21206;24299;
;16I1417: Sardoal;3834;1848;1986;
;16I0509: Sertã;15249;7240;8009;
;16I1418: Tomar;39297;18462;20835;
;16I1419: Torres Novas;35975;17060;18915;
;16I0510: Vila de Rei;3501;1595;1906;
;16I1420: Vila Nova da Barquinha;7196;3466;3730;
;16J: Beiras e Serra da Estrela;228305;108141;120164;
;16J0902: Almeida;6925;3203;3722;
;16J0501: Belmonte;6649;3202;3447;
;16J0903: Celorico da Beira;7298;3446;3852;
;16J0503: Covilhã;49992;23857;26135;
;16J0904: Figueira de Castelo Rodrigo;5992;2868;3124;
;16J0905: Fornos de Algodres;4950;2300;2650;
;16J0504: Fundão;28004;13407;14597;
;16J0906: Gouveia;13487;6230;7257;
;16J0907: Guarda;42033;19936;22097;
;16J0908: Manteigas;3317;1557;1760;
;16J0909: Mêda;4895;2315;2580;
;16J0910: Pinhel;9064;4351;4713;
;16J0911: Sabugal;12254;5693;6561;
;16J0912: Seia;24052;11355;12697;
;16J0913: Trancoso;9393;4421;4972;
;17: Área Metropolitana de Lisboa;2815667;1327626;1488041;
;170: Área Metropolitana de Lisboa;2815667;1327626;1488041;
;1701502: Alcochete;17999;8667;9332;
;1701503: Almada;174504;82242;92262;
;1701115: Amadora;171956;80571;91385;
;1701504: Barreiro;78282;36910;41372;
;1701105: Cascais;208200;97149;111051;
;1701106: Lisboa;541862;250473;291389;
;1701107: Loures;199214;94803;104411;
;1701109: Mafra;78738;38081;40657;
;1701506: Moita;65648;31231;34417;
;1701507: Montijo;52099;24973;27126;
;1701116: Odivelas;145406;68931;76475;
;1701110: Oeiras;171390;79560;91830;
;1701508: Palmela;64649;30930;33719;
;1701510: Seixal;159974;76063;83911;
;1701511: Sesimbra;50213;24458;25755;
;1701512: Setúbal;121717;57852;63865;
;1701111: Sintra;377439;179382;198057;
;1701114: Vila Franca de Xira;136377;65350;71027;
;18: Alentejo;739913;356807;383106;
;181: Alentejo Litoral;96139;47731;48408;
;1811501: Alcácer do Sal;12376;6022;6354;
;1811505: Grândola;14427;7297;7130;
;1810211: Odemira;25908;13254;12654;
